メニュー,説明,内容,料金
超高濃度ビタミンC,国産の超高濃度製剤を使用。強力な抗酸化作用が期待でき、アンチエイジングや美白へのアプローチとして注目されています。酸化剤不使用の国産ビタミンCを採用しています。,"VC25g, 生食250ml",10000
プラセンタ点滴,胎盤由来のプラセンタ製剤により、健やかな毎日をサポートします。プラセンタは、ホルモンバランスの乱れや肝臓の疲れが気になる方にも活用されています。美肌効果もあり、女性はもちろん男性にもおすすめです！,"生食100ml, ラエンネック10A",5000
プラセンタ注射,,ラエンネック２A,1000
グルタチオン点滴,グルタチオン600mgt点滴。抗酸化作用と肝臓保護作用により、黄ぐすみの軽減や美白効果が期待できます。,"生食100ml, ルチオン",3000
倍量グルタチオン点滴,高濃度のグルタチオンを配合した点滴です。グルタチオンの濃度が倍の1200mgです。,"生食100ml, ルチオン",5000
ルナージュオリジナル美肌カクテル,ルナージュこだわりのオリジナルカクテルです。美白、美肌、美髪など、複数の美容効果が期待できる成分を配合したオリジナルカクテル点滴です。ビタミンやグルタチオンなどをバランス良く配合しています。,"生食100ml, アスコルビン酸, トランサミン, ルチオン, クリストファン, ビタメジン, ビオチン",10000
美白カクテル,ビタミンCに加え、メラニンを抑えるトラネキサム酸やLシステインを配合。,"生食100ml, トランサミン, クリストファン, アスコルビン酸",5000
つるつる美肌カクテル,ビタミンCの抗酸化作用とパントテン酸の代謝促進作用できめ細やかな肌に導きます,"生食100ml, アスコルビン酸, パンテノール, クリストファン",5000
肝斑対策点滴,トラネキサム酸が肝斑に働きかけ、Lシステインがメラニンの生成を抑制することで、肝斑の改善を目指します。,"生食100ml, トランサミン, クリストファン",3000
美髪・美爪注射,ビオチンとパントテン酸で髪や爪のケラチンを補修。髪や爪の健康維持をサポートし、白髪や爪割れが気になる方にもお勧めです。,"生食20ml, ビオチン, パンテノール",3000
高濃度ビタミン点滴,にんにく注射の匂いが苦手な方にもおすすめのビタミンBとCが入った点滴です。,"生食100ml,  アスコルビン酸, ビタメジン",5000
にんにく点滴,疲労回復や活力アップが期待できます。にんにくの香りはしないので予定前でも大丈夫です。,"生食100ml, アリナミンF50",3000
にんにく注射,時間がない方はこれ。にんにく点滴と同等の有効成分量を、短時間で注入できる注射です。,アリナミンF50,2000
臭わないにんにく注射,にんにく注射特有の香りが苦手な方におすすめです。香りを抑えた製剤を使用しています。,"ビタメジン, 生食20ml",2500
疲労回復点滴,ビタミンCとビタミンBで活力アップや体力回復が期待できます。,"生食100ml, アスコルビン酸, アリナミンF50",3000
二日酔い回復点滴,二日酔いへの有効成分を詰め込んだ点滴です。オプションで吐き気どめも追加できます。,"ソルラクト, 強ミノ, ファモチジン",8000
飲み会前守りの点滴,飲酒前の二日酔い対策や体調管理におすすめです。肝機能のサポートやビタミンB群の補給が期待できます。,"ビタメジン, 強ミノ, 生食100ml",5000
飲み会前守りの注射,短時間で肝機能のサポートやビタミンB群の補給が期待できます。男女どちらにもおすすめです。,強ミノ,2000
ダイエット・筋トレ点滴,男女どちらにもおすすめ。脂肪の燃焼を促進し、健康的なダイエットをサポートします。,"生食100ml, エルカルニチン, チオクト酸",5000
ダイエットサポート注射,時間がない方におすすめです。ダイエット・筋トレ点滴と同様の有効成分を配合した注射です。,"チオクト酸, エルカルニチン",3000
レッドブル注射,活力アップをサポートする注射です。疲労回復や眠気対策に効果が期待できます。,"アリナミンF50, カフェイン",3000
免疫強化点滴,風邪の季節や疲れを感じた時などの体調管理に。体のコンディションを整え、健康維持をサポートします。,"生食100ml, アスコルビン酸, ビタメジン, 強ミノ, エルカルニチン",5000
OS1点滴,猛暑で脱水気味や食欲低下が気になる方におすすめ。ミネラルに加えてビタミン類も加えた点滴メニューです。,"アスコルビン酸, ビタメジン, ソルラクト",5000
口内炎点滴,口内炎が気になる方へ。ビタミンを補給し、口内炎の改善をサポートする点滴です。,"生食100ml, アスコルビン酸, パンテノール, ビタメジン, ビオチン",5000
胃もたれ注射,胃もたれが気になる方へ。有効成分を直接注入することで、胃の不快感を和らげることが期待できます。オプションで吐き気どめも追加できます。,"生食20ml, ファモチジン",2000
むくみスッキリ注射,むくみが気になる方へ。体内の余分な水分排出をサポートし、すっきり感を促すことが期待できます。施術後は頻繁にお手洗いに行きたくなるので注意。,"ラシックス, 生食20ml",2000
つわり点滴,辛いつわりに、脱水補給と必須ビタミン類を補充します。吐き気止めの成分も配合されており、つわりの症状緩和が期待できます。ご自身の楽な体勢で点滴を受けていただけます。,"ソルラクト, アスコルビン酸, プリンペラン, ファモチジン, ビタメジン",8000
エクソソーム点滴,エクソソームを高濃度に配合した、再生医療由来の美容点滴です。肌のコンディションを整え、ニキビ跡、赤み、加齢による肌力低下など複合的なお悩みの改善、および手術や施術後のダウンタイムの軽減が期待できます。,"生食100ml, エクソソーム",19800
育毛点滴,毛髪に必要な成分を配合した点滴です。飲み薬との併用により、より良い効果が期待できる場合があります。,"生食100ml, パンテノール, ビオチン, ビタメジン",5000
静脈麻酔,痛みを伴う施術のオプションです。当日中の車の運転はお控えください。,"アタラックスP, 生食100ml",3000